,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 3, Census Tract 1703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170300> block group:3",574,56,574,0,75893,148,82,Suffolk County,263,64,78
"Block Group 4, Census Tract 1802, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180200> block group:4",1354,156,1354,173,88068,376,199,Suffolk County,442,221,417
"Block Group 1, Census Tract 303, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:030300> block group:1",2187,21,2187,16,114911,759,516,Suffolk County,118,240,1530
"Block Group 3, Census Tract 1802, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180200> block group:3",786,0,786,0,76172,165,146,Suffolk County,270,142,151
"Block Group 1, Census Tract 202, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:020200> block group:1",1237,93,1237,211,65446,51,755,Suffolk County,100,102,902
"Block Group 4, Census Tract 303, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:030300> block group:4",568,0,568,0,190875,0,366,Suffolk County,0,55,479
"Block Group 2, Census Tract 303, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:030300> block group:2",1287,142,1287,59,107321,111,336,Suffolk County,289,269,621
"Block Group 2, Census Tract 610, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:061000> block group:2",1266,608,1266,506,17125,0,502,Suffolk County,394,171,75
"Block Group 3, Census Tract 610, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:061000> block group:3",592,82,592,315,20045,0,275,Suffolk County,286,95,15
"Block Group 1, Census Tract 612, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:061200> block group:1",2782,75,2782,115,163750,803,865,Suffolk County,165,323,2059
"Block Group 2, Census Tract 612, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:061200> block group:2",525,14,525,54,95296,85,200,Suffolk County,173,31,252
