,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 1, Census Tract 406, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040600> block group:1",1263,156,1263,134,128178,225,323,Suffolk County,98,130,673
"Block Group 1, Census Tract 1805, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180500> block group:1",1658,0,1658,102,61894,251,369,Suffolk County,545,351,315
"Block Group 2, Census Tract 1805, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180500> block group:2",602,8,602,10,78698,138,125,Suffolk County,148,67,193
"Block Group 3, Census Tract 1805, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180500> block group:3",1038,10,1038,93,70000,201,295,Suffolk County,366,280,195
"Block Group 4, Census Tract 1805, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:180500> block group:4",1101,22,1101,81,81739,334,208,Suffolk County,185,317,418
"Block Group 2, Census Tract 922, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092200> block group:2",906,549,906,61,72015,183,66,Suffolk County,204,197,142
"Block Group 3, Census Tract 922, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092200> block group:3",862,456,862,121,64828,114,202,Suffolk County,258,182,250
"Block Group 4, Census Tract 922, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092200> block group:4",462,234,462,162,24274,59,211,Suffolk County,121,62,125
"Block Group 4, Census Tract 901, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090100> block group:4",1139,771,1139,317,25114,41,298,Suffolk County,295,147,137
"Block Group 3, Census Tract 901, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090100> block group:3",735,469,735,211,44722,61,219,Suffolk County,291,146,88
"Block Group 2, Census Tract 901, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090100> block group:2",788,541,788,342,30217,34,254,Suffolk County,260,152,45
"Block Group 1, Census Tract 902, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090200> block group:1",662,384,662,280,35500,40,170,Suffolk County,210,125,32
"Block Group 3, Census Tract 902, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090200> block group:3",1110,685,1110,249,36750,55,268,Suffolk County,348,164,101
"Block Group 4, Census Tract 907, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090700> block group:4",531,0,531,8,132813,111,110,Suffolk County,63,44,289
"Block Group 1, Census Tract 907, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090700> block group:1",1014,134,1014,57,76136,227,203,Suffolk County,268,139,498
"Block Group 2, Census Tract 1003, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100300> block group:2",1026,928,1026,175,57593,102,252,Suffolk County,383,237,97
"Block Group 2, Census Tract 907, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090700> block group:2",1154,46,1154,41,72500,202,372,Suffolk County,307,132,566
"Block Group 2, Census Tract 912, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091200> block group:2",1121,381,1121,370,-666666666,136,262,Suffolk County,326,126,387
"Block Group 1, Census Tract 912, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091200> block group:1",1492,379,1492,243,67446,228,232,Suffolk County,465,339,294
"Block Group 1, Census Tract 1003, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100300> block group:1",1505,1295,1505,160,42763,211,223,Suffolk County,374,367,172
"Block Group 2, Census Tract 913, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091300> block group:2",1324,876,1324,313,31595,69,300,Suffolk County,508,181,111
"Block Group 1, Census Tract 913, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091300> block group:1",1237,639,1237,268,46917,148,291,Suffolk County,371,177,181
"Block Group 1, Census Tract 917, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091700> block group:1",1364,704,1364,179,46250,106,316,Suffolk County,482,136,220
"Block Group 2, Census Tract 917, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091700> block group:2",1164,711,1164,343,49167,133,221,Suffolk County,452,206,46
"Block Group 2, Census Tract 1008, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100800> block group:2",1162,167,1162,81,-666666666,292,179,Suffolk County,405,160,313
"Block Group 3, Census Tract 1008, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100800> block group:3",1123,399,1123,15,100432,181,314,Suffolk County,342,197,383
"Block Group 6, Census Tract 1008, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100800> block group:6",959,265,959,0,73958,234,142,Suffolk County,163,275,284
"Block Group 3, Census Tract 1, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000100> block group:3",654,22,654,43,132083,71,105,Suffolk County,93,32,374
"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000202> block group:1",1431,71,1431,104,105262,181,340,Suffolk County,189,259,585
"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000202> block group:2",963,38,963,29,96944,169,247,Suffolk County,125,113,640
"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000301> block group:1",631,79,631,223,139395,129,112,Suffolk County,175,81,240
"Block Group 3, Census Tract 3.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000301> block group:3",732,83,732,66,116477,110,139,Suffolk County,169,29,317
"Block Group 4, Census Tract 3.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000301> block group:4",759,0,759,231,90859,164,189,Suffolk County,166,59,274
"Block Group 3, Census Tract 8.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000802> block group:3",748,9,748,142,105662,168,64,Suffolk County,250,69,189
"Block Group 2, Census Tract 8.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000802> block group:2",1661,103,1661,221,59028,96,568,Suffolk County,204,139,812
"Block Group 4, Census Tract 8.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000802> block group:4",1458,65,1458,224,93534,153,392,Suffolk County,241,253,589
"Block Group 2, Census Tract 104.04, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010404> block group:2",1730,54,1730,136,30750,14,172,Suffolk County,90,16,143
"Block Group 3, Census Tract 104.04, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010404> block group:3",1566,80,1566,182,20500,23,285,Suffolk County,54,58,136
"Block Group 2, Census Tract 104.05, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010405> block group:2",2320,243,2320,262,26750,47,431,Suffolk County,125,66,239
"Block Group 3, Census Tract 104.05, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010405> block group:3",651,124,651,115,13678,0,349,Suffolk County,183,102,162
"Block Group 1, Census Tract 107.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010701> block group:1",1140,7,1140,126,102434,147,316,Suffolk County,0,35,639
"Block Group 2, Census Tract 107.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010701> block group:2",757,45,757,25,123469,145,287,Suffolk County,22,39,547
"Block Group 1, Census Tract 107.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010702> block group:1",761,14,761,44,137273,201,259,Suffolk County,18,41,655
"Block Group 2, Census Tract 511.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:051101> block group:2",1949,33,1949,801,45154,328,402,Suffolk County,651,245,410
"Block Group 3, Census Tract 511.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:051101> block group:3",2111,0,2111,888,67338,329,264,Suffolk County,978,207,351
"Block Group 3, Census Tract 512, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:051200> block group:3",898,0,898,145,66484,176,334,Suffolk County,201,156,451
"Block Group 1, Census Tract 601.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060101> block group:1",1095,0,1095,10,157731,286,171,Suffolk County,121,72,659
"Block Group 2, Census Tract 601.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060101> block group:2",584,0,584,12,127344,117,198,Suffolk County,122,40,380
"Block Group 3, Census Tract 601.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060101> block group:3",1050,7,1050,25,112813,212,210,Suffolk County,111,133,588
"Block Group 4, Census Tract 601.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060101> block group:4",768,33,768,31,102460,159,250,Suffolk County,115,92,474
"Block Group 1, Census Tract 603.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060301> block group:1",1290,9,1290,112,106875,264,382,Suffolk County,304,59,754
"Block Group 2, Census Tract 603.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060301> block group:2",871,0,871,0,108750,157,170,Suffolk County,140,72,496
"Block Group 3, Census Tract 603.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060301> block group:3",1494,7,1494,28,99444,393,301,Suffolk County,303,106,807
"Block Group 1, Census Tract 605.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060501> block group:1",919,0,919,63,130924,124,335,Suffolk County,25,69,706
"Block Group 2, Census Tract 605.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060501> block group:2",1411,27,1411,31,142500,280,296,Suffolk County,123,86,766
"Block Group 3, Census Tract 605.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060501> block group:3",683,11,683,11,111250,253,115,Suffolk County,20,70,517
"Block Group 4, Census Tract 605.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060501> block group:4",504,0,504,0,135982,106,171,Suffolk County,97,54,295
"Block Group 5, Census Tract 605.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060501> block group:5",554,0,554,0,151445,279,46,Suffolk County,8,122,385
"Block Group 1, Census Tract 611.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:061101> block group:1",666,120,666,241,24167,8,270,Suffolk County,208,74,156
"Block Group 1, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:1",1197,19,1197,46,152266,363,288,Suffolk County,49,61,923
"Block Group 2, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:2",652,49,652,47,26689,151,201,Suffolk County,259,35,240
"Block Group 4, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:4",1877,53,1877,204,100833,252,330,Suffolk County,117,83,643
"Block Group 5, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:5",216,0,216,66,-666666666,85,16,Suffolk County,59,33,72
"Block Group 1, Census Tract 711.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:071101> block group:1",1974,94,1974,190,65667,450,576,Suffolk County,358,237,1010
"Block Group 7, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:7",1234,10,1234,18,41546,0,761,Suffolk County,278,91,517
"Block Group 8, Census Tract 701.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070101> block group:8",420,20,420,19,218224,105,66,Suffolk County,63,21,258
"Block Group 1, Census Tract 704.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070402> block group:1",2398,294,2398,189,28851,41,1095,Suffolk County,943,269,762
"Block Group 2, Census Tract 711.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:071101> block group:2",1312,123,1312,195,122031,273,245,Suffolk County,181,179,823
"Block Group 3, Census Tract 711.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:071101> block group:3",1004,346,1004,249,20718,88,553,Suffolk County,253,92,487
"Block Group 1, Census Tract 712.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:071201> block group:1",2096,172,2096,238,128750,466,476,Suffolk County,649,224,1066
"Block Group 2, Census Tract 712.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:071201> block group:2",1638,555,1638,732,14327,26,575,Suffolk County,527,168,155
"Block Group 1, Census Tract 804.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080401> block group:1",1542,845,1542,616,32361,122,543,Suffolk County,604,201,297
"Block Group 2, Census Tract 804.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080401> block group:2",1723,732,1723,881,15673,46,675,Suffolk County,509,262,202
"Block Group 1, Census Tract 806.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080601> block group:1",2954,370,2954,336,25469,31,263,Suffolk County,215,75,156
"Block Group 2, Census Tract 806.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080601> block group:2",736,493,736,290,18125,0,319,Suffolk County,317,74,27
"Block Group 3, Census Tract 806.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080601> block group:3",436,273,436,69,9907,36,268,Suffolk County,212,94,61
"Block Group 1, Census Tract 808.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080801> block group:1",2704,391,2704,828,13984,0,373,Suffolk County,413,154,39
"Block Group 1, Census Tract 909.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090901> block group:1",1864,249,1864,962,28281,0,616,Suffolk County,308,261,308
"Block Group 1, Census Tract 810.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081001> block group:1",661,58,661,284,26205,0,266,Suffolk County,170,6,142
